name,start,end,duration,streamId,correlationId
elementwise_kernel,1970-01-01 00:00:07.808485800,1970-01-01 00:00:07.808487112,3.644444444444445e-10,7,12016
reduce_kernel,1970-01-01 00:00:07.808538536,1970-01-01 00:00:07.808539944,3.9111111111111107e-10,7,12032
elementwise_kernel,1970-01-01 00:00:07.808593736,1970-01-01 00:00:07.808595016,3.5555555555555555e-10,7,12048
elementwise_kernel,1970-01-01 00:00:07.808658696,1970-01-01 00:00:07.808660104,3.9111111111111107e-10,7,12064
elementwise_kernel,1970-01-01 00:00:07.808717800,1970-01-01 00:00:07.808719112,3.644444444444445e-10,7,12080
cudaMemsetAsync_v3020,1970-01-01 00:00:07.808768456,1970-01-01 00:00:07.808769864,3.9111111111111107e-10,7,12096
kernel,1970-01-01 00:00:07.808945383,1970-01-01 00:00:07.808985095,1.1031111111111112e-08,7,12136
reduce_kernel,1970-01-01 00:00:07.809131431,1970-01-01 00:00:07.809132903,4.088888888888889e-10,7,12164
vectorized_layer_norm_kernel,1970-01-01 00:00:07.809337702,1970-01-01 00:00:07.809341830,1.1466666666666666e-09,7,12220
kernel,1970-01-01 00:00:07.809584742,1970-01-01 00:00:07.809614406,8.24e-09,7,12275
CatArrayBatchedCopy,1970-01-01 00:00:07.810368388,1970-01-01 00:00:07.810371620,8.977777777777778e-10,7,12412
CatArrayBatchedCopy,1970-01-01 00:00:07.810431460,1970-01-01 00:00:07.810434532,8.533333333333333e-10,7,12429
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.810819299,1970-01-01 00:00:07.810831107,3.28e-09,7,12531
kernel,1970-01-01 00:00:07.811208994,1970-01-01 00:00:07.811220322,3.146666666666667e-09,7,12617
reduce_kernel,1970-01-01 00:00:07.811378626,1970-01-01 00:00:07.811380130,4.1777777777777775e-10,7,12645
